BuildingId,DisplayName,Description,IsCore,IsProduction,UnlockFurnaceLevel,OutputResource,Level,UpgradeWood,UpgradeMeat,UpgradeCoal,UpgradeIron,UpgradeSteel,UpgradeFireCrystal,UpgradeTimeSec,BaseProductionPerHour,MaxResidents,StorageCapacity,MaxTrainingQueue,HealRatePerHour,DailyRecruitCharges,CraftQueueSize
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,2,60,12,5,0,0,0,60,35,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,3,120,25,15,0,0,0,120,55,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,4,200,45,30,8,0,0,300,85,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,5,350,75,50,15,0,0,600,130,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,6,550,120,80,25,5,0,1200,190,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,7,850,180,130,45,8,1,1800,280,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,8,1300,280,200,70,12,2,2700,400,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,9,2000,420,300,100,20,3,3600,580,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,10,2800,600,450,150,30,5,5400,830,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,1,50,30,0,0,0,0,45,10,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,2,120,70,10,0,0,0,90,16,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,3,250,140,30,8,0,0,180,25,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,4,450,250,60,15,3,0,420,38,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,5,800,450,100,30,8,0,840,58,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,6,1300,750,160,50,12,1,1500,85,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,7,2000,1200,250,80,20,2,2400,125,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,8,3200,1800,380,120,30,3,3600,180,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,9,5000,2800,580,200,45,5,5400,260,0,0,0,0,0,0
CoalMine,煤矿井,生产煤矿,false,true,4,Coal,10,7500,4200,850,300,70,8,8100,380,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,1,100,60,30,0,0,0,60,5,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,2,200,120,60,10,0,0,120,8,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,3,400,250,120,25,0,0,240,13,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,4,800,500,250,50,10,1,480,20,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,5,1500,900,450,90,20,2,960,32,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,6,2500,1500,750,150,35,3,1800,50,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,7,4000,2500,1200,250,55,5,3000,80,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,8,6500,3800,1800,380,85,8,4800,125,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,9,10000,5800,2800,580,130,12,7200,195,0,0,0,0,0,0
IronMine,铁矿场,生产铁矿,false,true,6,IronOre,10,15000,8500,4200,850,200,18,10800,300,0,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,1,40,20,0,0,0,0,60,0,2,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,2,100,50,10,0,0,0,120,0,4,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,3,200,100,30,10,0,0,300,0,6,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,4,400,200,60,20,5,0,600,0,8,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,5,700,350,100,40,10,0,1200,0,10,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,6,1200,600,180,70,15,2,2400,0,12,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,7,2000,1000,300,120,25,3,3600,0,14,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,8,3500,1800,500,200,40,5,5400,0,16,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,9,5500,2800,800,320,70,8,8100,0,18,0,0,0,0,0
Shelter,住宅,提供幸存者空位,true,false,2,,10,8500,4300,1200,500,100,12,12000,0,20,0,0,0,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,1,60,30,10,0,0,0,45,0,0,0,0,1,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,2,150,80,30,10,0,0,90,0,0,0,0,1.5,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,3,300,150,60,20,5,0,180,0,0,0,0,2.2,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,4,550,280,120,40,10,0,360,0,0,0,0,3.3,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,5,1000,500,200,70,15,1,720,0,0,0,0,5,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,6,1800,900,380,130,25,2,1440,0,0,0,0,7.5,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,7,3200,1600,650,220,45,4,2520,0,0,0,0,11,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,8,5500,2800,1100,380,75,7,4320,0,0,0,0,17,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,9,9500,4800,1900,650,130,12,7200,0,0,0,0,25,0,0
MedicalTent,医疗帐篷,治疗伤员降低非战斗减员,false,false,3,,10,15000,7500,3000,1000,200,20,12000,0,0,0,0,40,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,1,60,30,10,0,0,0,60,0,0,500,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,2,150,80,30,10,0,0,120,0,0,1000,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,3,300,150,60,20,5,0,300,0,0,2000,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,4,550,280,120,40,10,0,600,0,0,4000,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,5,1000,500,200,70,15,1,1200,0,0,8000,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,6,1800,900,380,130,25,2,2400,0,0,16000,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,7,3200,1600,650,220,45,4,3600,0,0,32000,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,8,5500,2800,1100,380,75,7,5400,0,0,64000,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,9,9500,4800,1900,650,130,12,8100,0,0,128000,0,0,0,0
Warehouse,仓库,提升资源储存上限和保护比例,false,false,3,,10,15000,7500,3000,1000,200,20,12000,0,0,250000,0,0,0,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,1,80,40,20,5,0,0,90,0,0,0,0,0,1,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,2,200,100,50,15,0,0,180,0,0,0,0,0,2,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,3,400,200,100,30,5,0,360,0,0,0,0,0,3,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,4,700,350,180,55,10,1,720,0,0,0,0,0,4,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,5,1200,600,300,100,20,2,1440,0,0,0,0,0,5,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,6,2000,1000,500,180,35,3,2400,0,0,0,0,0,6,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,7,3500,1800,900,300,60,6,3960,0,0,0,0,0,7,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,8,6000,3000,1500,520,100,10,6480,0,0,0,0,0,8,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,9,10000,5000,2500,850,170,15,10800,0,0,0,0,0,9,0
Tavern,酒馆,每天刷新招募英雄,false,false,4,,10,15000,7500,4000,1300,260,25,18000,0,0,0,0,0,10,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,1,200,100,50,20,10,0,120,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,2,400,200,100,40,20,2,240,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,3,800,400,200,80,40,4,480,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,4,1500,800,400,150,80,8,960,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,5,2800,1500,750,280,150,15,1920,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,6,5000,2500,1300,500,250,25,3600,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,7,9000,4500,2300,900,450,45,6480,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,8,15000,8000,4000,1500,800,80,10800,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,9,25000,13000,6500,2500,1300,130,18000,0,0,0,0,0,0,0
ResearchLab,科研所,解锁科技加快研究速度,false,false,9,,10,40000,20000,10000,4000,2000,200,28800,0,0,0,0,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,1,150,80,40,20,5,0,120,0,0,0,1,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,2,300,150,80,40,10,1,240,0,0,0,2,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,3,600,300,150,80,20,2,480,0,0,0,3,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,4,1200,600,300,150,40,4,960,0,0,0,4,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,5,2200,1100,550,280,75,8,1920,0,0,0,5,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,6,4000,2000,1000,500,130,15,3600,0,0,0,6,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,7,7000,3500,1800,900,220,25,6480,0,0,0,7,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,8,12000,6000,3000,1500,400,45,10800,0,0,0,8,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,9,20000,10000,5000,2500,650,75,18000,0,0,0,9,0,0,0
BarracksShield,盾兵兵营,训练盾兵前排肉盾,false,false,5,,10,32000,16000,8000,4000,1000,120,28800,0,0,0,10,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,7,,1,180,100,50,30,8,0,150,0,0,0,1,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,2,360,200,100,60,15,2,300,0,0,0,2,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,3,700,400,200,120,30,3,600,0,0,0,3,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,4,1400,800,400,240,60,6,1200,0,0,0,4,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,5,2500,1400,700,420,110,12,2400,0,0,0,5,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,6,4500,2500,1300,780,200,22,4200,0,0,0,6,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,7,8000,4500,2300,1400,360,40,7200,0,0,0,7,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,8,14000,7800,3900,2400,620,70,12600,0,0,0,8,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,9,24000,13500,6800,4200,1100,120,21600,0,0,0,9,0,0,0
BarracksSpear,矛兵兵营,训练矛兵突后排,false,false,8,,10,40000,22000,11000,6800,1700,200,36000,0,0,0,10,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,1,200,120,60,40,10,1,180,0,0,0,1,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,2,400,240,120,80,20,2,360,0,0,0,2,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,3,800,480,240,160,40,4,720,0,0,0,3,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,4,1600,960,480,320,80,8,1440,0,0,0,4,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,5,2800,1700,850,560,140,15,2880,0,0,0,5,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,6,5000,3000,1500,1000,250,25,5400,0,0,0,6,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,7,9000,5400,2700,1800,450,45,9720,0,0,0,7,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,8,16000,9600,4800,3200,800,80,16200,0,0,0,8,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,9,28000,16800,8400,5600,1400,140,28800,0,0,0,9,0,0,0
BarracksArcher,射手兵营,训练射手后排输出,false,false,9,,10,48000,28800,14400,9600,2400,240,48000,0,0,0,10,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,1,300,150,80,40,15,2,300,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,2,600,300,160,80,30,4,600,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,3,1200,600,300,160,60,8,1200,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,4,2200,1100,550,300,120,15,2400,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,5,4000,2000,1000,550,220,25,4800,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,6,7000,3500,1800,1000,400,45,8400,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,7,12000,6000,3000,1800,700,80,14400,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,8,20000,10000,5000,3000,1200,140,25200,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,9,35000,17500,8800,5200,2100,240,43200,0,0,0,0,0,0,0
CommandCenter,指挥部,提升探险队规模和效率,false,false,8,,10,58000,29000,14500,8800,3500,400,72000,0,0,0,0,0,0,0
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,1,100,50,30,15,5,0,180,0,0,0,0,0,0,1
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,2,250,120,70,35,10,1,360,0,0,0,0,0,0,2
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,3,500,250,150,70,20,2,720,0,0,0,0,0,0,2
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,4,900,450,250,130,40,4,1440,0,0,0,0,0,0,3
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,5,1600,800,450,230,70,8,2880,0,0,0,0,0,0,3
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,6,2800,1400,800,400,120,15,5040,0,0,0,0,0,0,4
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,7,5000,2500,1400,700,220,25,8640,0,0,0,0,0,0,4
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,8,8500,4300,2400,1200,380,45,15120,0,0,0,0,0,0,5
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,9,15000,7500,4200,2100,650,75,25920,0,0,0,0,0,0,5
WarmWorkshop,温暖工坊,制造特殊道具暖炉火晶,false,false,5,,10,25000,12500,7000,3600,1100,130,43200,0,0,0,0,0,0,6
